# Basin table for the flood-split experiment, generated by scripts/make_basin_regime_table.py.
# regime = rain if frac_snow < 0.3 else snow -- the project's own rule (make_peak_error_curve.py).
# in_train28 = member of ca-basins-expanded.txt (the configured training/validation/test basin file).
# in_cohort22 = >= 30 valid source-netCDF obs days inside WY2017+WY2023; the fixed evaluation cohort.
# Attributes are Caravan/HydroATLAS values; ele_mean_m is reported because it is NOT a static input in the flood config.
basin,gauge_name,focus_label,frac_snow,regime,area_km2,ele_mean_m,p_mean_mm_day,aridity_ERA5_LAND,gauge_lat,gauge_lon,n_valid_obs_days_flood_windows,in_train28,in_cohort22
camels_11522500,SALMON R A SOMES BAR CA,,0.176728,rain,1944.0552273721632,1310.054778755264,3.4159358,5.654055,41.37763,-123.47756,730,True,True
camels_11124500,SANTA CRUZ C NR SANTA YNEZ CA,,0.0,rain,192.4727979257493,1014.0,1.1976516,18.17779,34.59666,-119.90875,0,True,False
camels_11141280,LOPEZ C NR ARROYO GRANDE CA,,0.0,rain,56.16972005115561,416.8609458893212,1.1005483,9.015687,35.23553,-120.47239,0,True,False
camels_11143000,BIG SUR R NR BIG SUR CA,,0.0,rain,121.1055627257252,705.0,1.8065208,10.336824,36.2458,-121.77329,0,True,False
camels_11148900,NACIMIENTO R BL SAPAQUE C NR BRYSON CA,,0.0,rain,385.7898468745676,561.6192911797305,1.4071704,9.374941,35.78858,-121.09381,730,True,True
camels_11151300,SAN LORENZO C BL BITTERWATER C NR KING CITY CA,,0.0,rain,648.170558878491,598.5579457595178,0.95026624,6.9354806,36.26802,-121.0663,0,True,False
camels_11176400,ARROYO VALLE BL LANG CN NR LIVERMORE CA,,0.0,rain,336.3876108832146,726.009300476637,1.2945893,5.297345,37.56132,-121.68384,0,True,False
camels_11284400,BIG C AB WHITES GULCH NR GROVELAND CA,,0.0,rain,41.79364283801668,879.5712006261767,2.6726024,9.110667,37.84187,-120.18491,0,True,False
camels_11381500,MILL C NR LOS MOLINOS CA,Mill Ck,0.0,rain,340.4872487052314,1199.310576598269,3.2461383,5.8415895,40.0546,-122.02415,730,True,True
camels_11451100,NF CACHE C A HOUGH SPRING NR CLEARLAKE OAKS CA,,0.0,rain,155.05678176368886,933.97545033217,2.326694,11.36461,39.16545,-122.61999,577,True,True
camels_11468500,NOYO R NR FORT BRAGG CA,,0.0,rain,273.2986618497243,295.907758527224,3.0931733,6.0099406,39.42822,-123.73779,730,True,True
camels_11473900,MF EEL R NR DOS RIOS CA,,0.0,rain,1928.7456711928808,1126.3713755640154,2.9725797,7.9073524,39.70627,-123.32529,730,True,True
camels_11475560,ELDER C NR BRANSCOMB CA,,0.0,rain,16.90242029379387,678.4640117469168,3.3979645,5.491924,39.7296,-123.64391,730,True,True
camels_11476600,BULL C NR WEOTT CA,,0.0,rain,72.31847288877567,450.8790196198998,3.8746111,4.4551578,40.35125,-124.00393,730,True,True
camels_11478500,VAN DUZEN R NR BRIDGEVILLE CA,,0.0,rain,574.2727878198435,929.6848883343458,3.6563745,5.0712347,40.48042,-123.89088,730,True,True
camels_11480390,MAD R AB RUTH RES NR FOREST GLEN CA,,0.0,rain,243.07780955762453,1148.927302434752,3.1940944,7.118503,40.28431,-123.3353,730,True,True
camels_11481200,LITTLE R NR TRINIDAD CA,,0.0,rain,106.62332235846613,316.0,4.054652,3.4981828,41.01096,-124.08173,730,True,True
camels_11482500,REDWOOD C A ORICK CA,,0.0,rain,723.700970677594,572.8881002529905,4.1286097,3.5675862,41.29929,-124.05118,730,True,True
camels_11528700,SF TRINITY R BL HYAMPOM CA,,0.0,rain,1980.3844957862525,1129.4764941584294,3.0278933,7.2637615,40.64986,-123.4942,730,True,True
camels_11532500,SMITH R NR CRESCENT CITY CA,,0.0,rain,1587.7272337434738,776.8420767759967,4.978537,3.486411,41.7915,-124.07619,730,True,True
camels_11264500,MERCED R A HAPPY ISLES BRIDGE NR YOSEMITE CA,Merced @ Happy Isles,0.79382414,snow,471.72666423834727,2755.774418418345,3.1129186,2.7798522,37.73159,-119.55877,730,True,True
camels_11230500,BEAR C NR LAKE THOMAS A EDISON CA,Bear Ck,0.7213968,snow,142.26120313085983,3182.645878257624,2.44431,2.9145906,37.33939,-118.97345,730,True,True
camels_11266500,MERCED R A POHONO BRIDGE NR YOSEMITE CA,Merced @ Pohono,0.71412295,snow,835.6163664874763,2583.0685267079007,3.1314003,3.7059839,37.71687,-119.66628,730,True,True
camels_10336645,GENERAL C NR MEEKS BAY CA,,0.61425096,snow,20.237779215551967,2033.1624180260944,3.1239555,4.029921,39.05185,-120.11852,730,True,True
camels_11237500,PITMAN C BL TAMARACK C CA,Pitman Ck,0.60282403,snow,65.02102201337435,2110.1785113004544,3.0145612,5.4944944,37.19856,-119.21373,730,True,True
camels_11523200,TRINITY R AB COFFEE C NR TRINITY CTR CA,,0.47343215,snow,384.56161859007176,1626.1526632988302,3.1910245,6.1561913,41.11126,-122.70558,730,True,True
camels_10336660,BLACKWOOD C NR TAHOE CITY CA,,0.46945435,snow,32.37565767870588,2136.381725463665,3.0583203,4.55519,39.10741,-120.16214,730,True,True
camels_10343500,SAGEHEN C NR TRUCKEE CA,,0.4662704,snow,27.27549500718668,2018.6337509455889,2.7080028,7.280721,39.43157,-120.23798,730,True,True
