window,basin,name,model,n_days,NSE,KGE,FHV,Peak-Timing,Missed-Peaks,Peak-MAPE
WY2017,camels_11264500,Merced @ Happy Isles (snow),LSTM,365,0.8582330346107483,0.6619653953414715,-21.862268447875977,0.5,0.6,47.974605560302734
WY2017,camels_11264500,Merced @ Happy Isles (snow),NWM v2.1,365,0.6240635682323171,0.8135534508088835,-2.3675277134135833,0.0,0.8,21.84187534925844
WY2017,camels_11264500,Merced @ Happy Isles (snow),NWM v3.0,365,0.8740001325664659,0.8794074461883329,-3.2552912749991307,0.5,0.8,49.49901054484791
WY2023p,camels_11264500,Merced @ Happy Isles (snow),LSTM,123,0.3421517610549927,0.3051472158399534,-58.49701690673828,2.0,1.0,92.30558013916016
WY2023p,camels_11264500,Merced @ Happy Isles (snow),NWM v3.0,123,0.12882934880313657,0.03663950227738977,-79.89956355310096,0.0,0.0,82.84018189498578
WY2017,camels_11266500,Merced @ Pohono (snow),LSTM,365,0.7718716859817505,0.6466131392142769,-19.796133041381836,1.0,0.75,58.44578552246094
WY2017,camels_11266500,Merced @ Pohono (snow),NWM v2.1,365,0.6886971473280956,0.7949775566811442,-9.41643180273433,0.5,0.25,27.770162848771374
WY2017,camels_11266500,Merced @ Pohono (snow),NWM v3.0,365,0.8697352381169732,0.8572907227146771,-6.279244056807127,0.0,0.5,29.321473360899653
WY2023p,camels_11266500,Merced @ Pohono (snow),LSTM,123,0.39264804124832153,0.271215698041821,-62.70170211791992,1.0,1.0,90.6902084350586
WY2023p,camels_11266500,Merced @ Pohono (snow),NWM v3.0,123,0.5316735832498467,0.36541952835435565,-35.094870138488105,1.0,0.0,69.27137395050534
WY2017,camels_11230500,Bear Ck (snow),LSTM,365,0.9237251281738281,0.8468306792912986,-19.177764892578125,0.0,0.3333333333333333,26.210662841796875
WY2017,camels_11230500,Bear Ck (snow),NWM v2.1,365,0.06936653733950648,0.40204553599206416,59.86491330275969,0.0,1.0,32.115026229421204
WY2017,camels_11230500,Bear Ck (snow),NWM v3.0,365,-0.1831219188077553,0.35882102284818174,41.63328264823918,0.0,1.0,2.8115362446268417
WY2023p,camels_11230500,Bear Ck (snow),LSTM,123,0.7666242122650146,0.8540058072319165,16.499277114868164,1.0,0.0,19.49176788330078
WY2023p,camels_11230500,Bear Ck (snow),NWM v3.0,123,-0.45441390414683935,-0.8741755113601173,-66.92288516939628,3.0,1.0,83.95257020997143
WY2017,camels_11237500,Pitman Ck (snow),LSTM,365,0.6919304728507996,0.6739096486442824,-27.4040584564209,1.0,1.0,63.815582275390625
WY2017,camels_11237500,Pitman Ck (snow),NWM v2.1,365,0.683120720335169,0.6961521871917895,-36.308515958896116,1.0,1.0,63.49030235292342
WY2017,camels_11237500,Pitman Ck (snow),NWM v3.0,365,0.672986811883825,0.6788096223953801,-32.03290484024508,0.5,0.6,54.42219782037239
WY2023p,camels_11237500,Pitman Ck (snow),LSTM,123,0.44301629066467285,0.39104965530155944,-52.985618591308594,1.0,1.0,90.69950866699219
WY2023p,camels_11237500,Pitman Ck (snow),NWM v3.0,123,0.16156918789980979,-0.03310757002409059,-54.86127146911972,1.0,1.0,94.32239035348822
WY2017,camels_11381500,Mill Ck (rain),LSTM,365,0.7211867570877075,0.8285065138506579,-12.883599281311035,0.5,0.6,43.55007553100586
WY2017,camels_11381500,Mill Ck (rain),NWM v2.1,365,0.6282176216510278,0.7855516295694472,7.916441025227637,1.0,0.6,41.19046990582775
WY2017,camels_11381500,Mill Ck (rain),NWM v3.0,365,0.8476992430765449,0.8901289280648255,-4.598030556230948,0.5,0.4,35.15591073965335
WY2023p,camels_11381500,Mill Ck (rain),LSTM,123,0.7373850345611572,0.7299853113205131,-28.15789031982422,1.0,0.5,40.280452728271484
WY2023p,camels_11381500,Mill Ck (rain),NWM v3.0,123,0.8963809748391695,0.8228051827319133,-21.2400986748764,0.0,0.5,25.792514713569837
