model,basin,n_days,NSE,KGE,FHV,Peak-Timing,Missed-Peaks,Peak-MAPE
determ h16 @15,camels_10336645,730,0.6746414444773514,0.6499406378239426,-32.13263511520425,0.5,0.4583333333333333,47.915589620240596
determ h16 @15,camels_10336660,730,0.6537323743087164,0.6427792065472739,-37.57895581921915,0.75,0.65,64.19501931000342
determ h16 @15,camels_10343500,730,0.7697506894714485,0.6249490701244121,-41.2757617769238,0.5,0.5,41.755075807629254
determ h16 @15,camels_11148900,730,0.40719114011774826,0.4946531257421949,-35.048369255525955,1.0,0.3333333333333333,73.92478861987081
determ h16 @15,camels_11230500,730,0.8745291333716956,0.8362178844903047,-19.012034989999528,2.0,0.3333333333333333,29.57514995364749
determ h16 @15,camels_11237500,730,0.8156006671959966,0.7486363506173056,-28.073420901202475,0.75,0.5666666666666667,39.8797593630581
determ h16 @15,camels_11264500,730,0.8151799937798194,0.6009901278939436,-35.99047180793826,0.0,0.1,39.031008408493626
determ h16 @15,camels_11266500,730,0.8521433883533811,0.7257182713903297,-29.092579289487453,0.75,0.41666666666666663,52.12471916566916
determ h16 @15,camels_11381500,730,0.5765004652035762,0.7693771709648606,11.250673530365361,0.75,0.4,46.947381799961576
determ h16 @15,camels_11451100,577,0.6669543605950449,0.8113652507389957,-6.459141187157134,1.0,0.25,64.58544414317008
determ h16 @15,camels_11468500,730,0.639890045479633,0.6952535366113691,32.863496744139326,1.0,0.25,30.20657827891031
determ h16 @15,camels_11473900,730,0.6660674982916799,0.7844165862901602,-7.800980818339913,1.0,0.26666666666666666,58.827029983073594
determ h16 @15,camels_11475560,730,0.6572311689449999,0.8253510064945337,9.27843647703963,1.0,0.3333333333333333,65.83420759384974
determ h16 @15,camels_11476600,730,0.7340679879945637,0.8557075169692728,3.3060196874050813,1.0,0.25,33.80490437314985
determ h16 @15,camels_11478500,730,0.6480330167275663,0.7612367455308715,-12.98087287074877,1.0,0.425,56.89684729807554
determ h16 @15,camels_11480390,730,0.6833749583046884,0.7585626191566658,-13.945372723939926,1.0,0.3333333333333333,57.67813445728437
determ h16 @15,camels_11481200,730,0.5503448730905602,0.7231797931548565,3.4890239579131483,1.0,0.5,61.9502692553311
determ h16 @15,camels_11482500,730,0.810028896240572,0.8951826195272986,3.6051710822932517,1.0,0.3,34.38820150756252
determ h16 @15,camels_11522500,730,0.6972217372395071,0.7903042617557859,9.909836475679025,0.25,0.5833333333333333,33.166995180329494
determ h16 @15,camels_11523200,730,0.6490013069544227,0.7773329794058973,-11.359322729868387,1.25,0.3333333333333333,41.2275737818952
determ h16 @15,camels_11528700,730,0.7621305565086314,0.7952849751638746,-9.122790125875113,1.0,0.25,48.444016644605306
determ h16 @15,camels_11532500,730,0.7292550650795858,0.7976413604440139,-16.066962308190973,1.0,0.3333333333333333,48.24390920596837
CMAL h16 @2,camels_10336645,730,0.2365012330613171,0.16954509452348687,-69.31418751812117,1.5,0.875,83.85075407044079
CMAL h16 @2,camels_10336660,730,0.13971960081610502,0.06252338719137263,-67.35935178562076,1.0,0.875,85.40302968985341
CMAL h16 @2,camels_10343500,730,0.38615164257043866,0.4051626086762179,-41.228324210980794,0.75,0.9166666666666667,62.52204023493083
CMAL h16 @2,camels_11148900,730,0.3081277167567972,0.20884549980189082,-70.14342534251546,1.0,0.6666666666666666,86.44687105641566
CMAL h16 @2,camels_11230500,730,0.5051863709270636,0.2956496939756902,-65.49505354825155,1.5,1.0,68.91663509500242
CMAL h16 @2,camels_11237500,730,0.3378800411440155,0.1842220646886007,-72.64218578969971,1.75,1.0,80.62529742832102
CMAL h16 @2,camels_11264500,730,0.4247035772225757,0.2428450263499009,-66.66714061748442,1.5,0.9,74.69523729536584
CMAL h16 @2,camels_11266500,730,0.38236733924995514,0.231382142002603,-66.19331672765102,1.25,1.0,82.14380313148949
CMAL h16 @2,camels_11381500,730,0.49233213526828346,0.47980927927011563,-41.581570194572635,0.75,0.4,59.33422929614539
CMAL h16 @2,camels_11451100,577,0.5283292417963066,0.41572262624428036,-60.161216381586456,1.0,0.5,78.54672988669805
CMAL h16 @2,camels_11468500,730,0.6543378715169932,0.6258446759167182,-38.61323948789187,1.0,0.375,62.17179172534388
CMAL h16 @2,camels_11473900,730,0.6073275307017522,0.5854770505973538,-46.86004581719233,1.0,0.43333333333333335,61.92195360604305
CMAL h16 @2,camels_11475560,730,0.539178688989087,0.40583669948591405,-60.62903175613398,1.0,0.3333333333333333,86.172394447609
CMAL h16 @2,camels_11476600,730,0.5796497731474686,0.42579554443954426,-61.14069074862993,1.0,0.25,71.9335169820933
CMAL h16 @2,camels_11478500,730,0.501874936147163,0.39089695031609184,-62.806544426735,1.25,0.775,72.64970339003156
CMAL h16 @2,camels_11480390,730,0.5586005965959386,0.49091995123036747,-57.39547045503413,1.0,0.3333333333333333,69.25189001438284
CMAL h16 @2,camels_11481200,730,0.6032857166194083,0.6326373849221361,-45.057957238089074,1.0,0.6666666666666666,70.97465989758072
CMAL h16 @2,camels_11482500,730,0.7365572631506175,0.6760890531850245,-44.03019903712116,1.0,0.7333333333333334,61.57096410826509
CMAL h16 @2,camels_11522500,730,0.6206578769174695,0.7416286720208966,-10.13478399713247,0.5,0.7083333333333333,49.68024660857165
CMAL h16 @2,camels_11523200,730,0.3864839478854014,0.3969514123295047,-48.4718987331329,0.75,0.5333333333333333,58.38866681027886
CMAL h16 @2,camels_11528700,730,0.6828898943085215,0.5622812522242181,-44.773331679476456,1.0,0.29166666666666663,60.95175773475623
CMAL h16 @2,camels_11532500,730,0.5338761831944328,0.4376138121072427,-62.800913755145615,0.75,0.41666666666666663,60.31084217860224
determ h128 @14,camels_10336645,730,0.64165180822875,0.6310317211838092,-34.49274308352908,0.25,0.875,50.72189228544574
determ h128 @14,camels_10336660,730,0.6850256857087871,0.6635382460417544,-36.28095151349169,1.25,0.75,55.426551426405126
