model,basin,name,lead,CRPS,coverage90,reliability_TV,spread_skill,n
CMAL,camels_10336645,,0,1.5518883237790624,0.5506849315068493,0.41095890410958913,3.7087353973752935,730
deterministic,camels_10336645,,0,1.5204014761807167,,,,730
CMAL,camels_10336645,,1,1.5499987907043358,0.5465753424657535,0.39383561643835624,2.087046185619949,730
deterministic,camels_10336645,,1,1.574527603142882,,,,730
CMAL,camels_10336645,,2,1.5511960255542636,0.5315068493150685,0.4027397260273972,3.3114839512396026,730
deterministic,camels_10336645,,2,1.5054894146037427,,,,730
CMAL,camels_10336645,,3,1.5491542521115367,0.5301369863013699,0.40068493150684936,2.499268045687748,730
deterministic,camels_10336645,,3,1.483404520439775,,,,730
CMAL,camels_10336645,,4,1.569037639438104,0.5273972602739726,0.4075342465753425,2.609923816086755,730
deterministic,camels_10336645,,4,1.4671547746005125,,,,730
CMAL,camels_10336645,,5,1.5819936022085965,0.5123287671232877,0.4136986301369864,1.2970467574195708,730
deterministic,camels_10336645,,5,1.4642139428282437,,,,730
CMAL,camels_10336645,,6,1.6150924215728366,0.5205479452054794,0.42671232876712334,1.220647802779405,730
deterministic,camels_10336645,,6,1.4853409038014609,,,,730
CMAL,camels_10336645,,7,1.6527885514675926,0.49726027397260275,0.4493150684931506,2.3477710940340946,730
deterministic,camels_10336645,,7,1.5529626653619009,,,,730
CMAL,camels_10336660,,0,1.265358117162227,0.7726027397260274,0.2671232876712329,0.38624651206386656,730
deterministic,camels_10336660,,0,1.9266944396985721,,,,730
CMAL,camels_10336660,,1,1.2843418747921018,0.7575342465753425,0.27328767123287667,3.879988108642917,730
deterministic,camels_10336660,,1,1.9568187017146854,,,,730
CMAL,camels_10336660,,2,1.26006704820108,0.7479452054794521,0.2787671232876712,2.491765163312607,730
deterministic,camels_10336660,,2,1.9024002736561918,,,,730
CMAL,camels_10336660,,3,1.2541839475001695,0.7534246575342466,0.2732876712328768,3.2221251136078175,730
deterministic,camels_10336660,,3,1.88778209563804,,,,730
CMAL,camels_10336660,,4,1.2634639465331055,0.7315068493150685,0.2787671232876712,1.913928776125634,730
deterministic,camels_10336660,,4,1.86209770310415,,,,730
CMAL,camels_10336660,,5,1.2435123392372962,0.7219178082191781,0.2842465753424658,2.899352605113959,730
deterministic,camels_10336660,,5,1.845487932064762,,,,730
CMAL,camels_10336660,,6,1.2717022279392594,0.7150684931506849,0.28287671232876715,3.0013390640823,730
deterministic,camels_10336660,,6,1.8768761390692568,,,,730
CMAL,camels_10336660,,7,1.3093623637853198,0.7027397260273973,0.26164383561643834,2.315478960139093,730
deterministic,camels_10336660,,7,1.8858191507319881,,,,730
CMAL,camels_10343500,,0,0.5729797402465037,0.6219178082191781,0.35479452054794525,2.5634215964850315,730
deterministic,camels_10343500,,0,0.9407757431676943,,,,730
CMAL,camels_10343500,,1,0.6028499932839274,0.6068493150684932,0.3602739726027398,2.8404000906991342,730
deterministic,camels_10343500,,1,0.951343873510622,,,,730
CMAL,camels_10343500,,2,0.6012220026543277,0.5945205479452055,0.37260273972602737,2.0512186791216585,730
deterministic,camels_10343500,,2,0.9480936226779467,,,,730
CMAL,camels_10343500,,3,0.6019182633253306,0.5876712328767123,0.38219178082191785,3.1646254869804533,730
deterministic,camels_10343500,,3,0.9542704925145189,,,,730
CMAL,camels_10343500,,4,0.5940054149066596,0.6054794520547945,0.35479452054794525,2.7115636869437982,730
deterministic,camels_10343500,,4,0.9436299890688021,,,,730
CMAL,camels_10343500,,5,0.6150995227706583,0.5876712328767123,0.3554794520547946,2.1721602385745373,730
deterministic,camels_10343500,,5,0.9544273402592908,,,,730
