variant,lead,n,coverage90,crps,issue_date_first,issue_date_last,valid_date_first,valid_date_last,note
raw,0,15907,0.7228264286163324,0.9009437565351165,2016-10-01,2023-09-30,2016-10-01,2023-09-30,
raw,1,15863,0.7010023324717897,1.036537515020483,2016-10-01,2023-09-29,2016-10-02,2023-09-30,
raw,2,15819,0.6971995701371768,1.0485966028560236,2016-10-01,2023-09-28,2016-10-03,2023-09-30,
raw,3,15775,0.6962282091917591,1.0588813195569227,2016-10-01,2023-09-27,2016-10-04,2023-09-30,
raw,4,15731,0.6913737206789142,1.077198405656808,2016-10-01,2023-09-26,2016-10-05,2023-09-30,
raw,5,15687,0.6824121884362848,1.1179489535830929,2016-10-01,2023-09-25,2016-10-06,2023-09-30,
raw,6,15643,0.6745509173432206,1.1521039760826397,2016-10-01,2023-09-24,2016-10-07,2023-09-30,
raw,7,15599,0.6577344701583435,1.2094318068239902,2016-10-01,2023-09-23,2016-10-08,2023-09-30,
raw,-1,42008,0.6968196533993525,2.853602990655275,2016-10-07,2023-08-22,2016-10-14,2023-08-22,"top-tercile days; esc_above=0.261, esc_below=0.043"
global,0,15907,0.9121141635757842,0.9389463213686948,2016-10-01,2023-09-30,2016-10-01,2023-09-30,
global,1,15863,0.8997037130429301,1.0588293219343856,2016-10-01,2023-09-29,2016-10-02,2023-09-30,
global,2,15819,0.8980340097351286,1.0708445546173537,2016-10-01,2023-09-28,2016-10-03,2023-09-30,
global,3,15775,0.896418383518225,1.086507497023041,2016-10-01,2023-09-27,2016-10-04,2023-09-30,
global,4,15731,0.8989892568813171,1.0962924069399107,2016-10-01,2023-09-26,2016-10-05,2023-09-30,
global,5,15687,0.8946261235417862,1.1338196758877164,2016-10-01,2023-09-25,2016-10-06,2023-09-30,
global,6,15643,0.8929233522981526,1.1634448273838303,2016-10-01,2023-09-24,2016-10-07,2023-09-30,
global,7,15599,0.8871722546317071,1.209250511695289,2016-10-01,2023-09-23,2016-10-08,2023-09-30,
global,-1,42008,0.8877594743858312,2.891974768454564,2016-10-07,2023-08-22,2016-10-14,2023-08-22,"top-tercile days; esc_above=0.109, esc_below=0.003"
flow-conditional,0,15907,0.9060790846797008,0.9000254277419341,2016-10-01,2023-09-30,2016-10-01,2023-09-30,
flow-conditional,1,15863,0.8928323772300322,1.0265369646431588,2016-10-01,2023-09-29,2016-10-02,2023-09-30,
flow-conditional,2,15819,0.891586067387319,1.0402425752760494,2016-10-01,2023-09-28,2016-10-03,2023-09-30,
flow-conditional,3,15775,0.8897622820919175,1.0540365716325133,2016-10-01,2023-09-27,2016-10-04,2023-09-30,
flow-conditional,4,15731,0.8905346131841587,1.0682297265191552,2016-10-01,2023-09-26,2016-10-05,2023-09-30,
flow-conditional,5,15687,0.8858290304073436,1.1084234790904448,2016-10-01,2023-09-25,2016-10-06,2023-09-30,
flow-conditional,6,15643,0.8813526817106693,1.1414847355630409,2016-10-01,2023-09-24,2016-10-07,2023-09-30,
flow-conditional,7,15599,0.8758253734213731,1.1955376105320403,2016-10-01,2023-09-23,2016-10-08,2023-09-30,
flow-conditional,-1,42008,0.8542182441439726,2.7835262260973135,2016-10-07,2023-08-22,2016-10-14,2023-08-22,"top-tercile days; esc_above=0.120, esc_below=0.026"
