basin,variant,lead,n,issue_date_first,issue_date_last,valid_date_first,valid_date_last,coverage90,crps
camels_10336645,raw,0,730,2016-10-01,2023-09-30,2016-10-01,2023-09-30,0.5424657534246575,1.5530596845727402
camels_10336645,raw,1,728,2016-10-01,2023-09-29,2016-10-02,2023-09-30,0.5357142857142857,1.5545428187475903
camels_10336645,raw,2,726,2016-10-01,2023-09-28,2016-10-03,2023-09-30,0.5289256198347108,1.5593150005517171
camels_10336645,raw,3,724,2016-10-01,2023-09-27,2016-10-04,2023-09-30,0.5248618784530387,1.5606720292665521
camels_10336645,raw,4,722,2016-10-01,2023-09-26,2016-10-05,2023-09-30,0.5207756232686981,1.5852338245716118
camels_10336645,raw,5,720,2016-10-01,2023-09-25,2016-10-06,2023-09-30,0.5152777777777777,1.6032041202358749
camels_10336645,raw,6,718,2016-10-01,2023-09-24,2016-10-07,2023-09-30,0.5153203342618384,1.6403211832441653
camels_10336645,raw,7,716,2016-10-01,2023-09-23,2016-10-08,2023-09-30,0.48743016759776536,1.6841245595773764
camels_10336660,raw,0,730,2016-10-01,2023-09-30,2016-10-01,2023-09-30,0.7712328767123288,1.266564210958618
camels_10336660,raw,1,728,2016-10-01,2023-09-29,2016-10-02,2023-09-30,0.7541208791208791,1.2873863595319992
camels_10336660,raw,2,726,2016-10-01,2023-09-28,2016-10-03,2023-09-30,0.7465564738292011,1.269670648849193
camels_10336660,raw,3,724,2016-10-01,2023-09-27,2016-10-04,2023-09-30,0.7361878453038674,1.2616611650767067
camels_10336660,raw,4,722,2016-10-01,2023-09-26,2016-10-05,2023-09-30,0.7257617728531855,1.2780134239133396
camels_10336660,raw,5,720,2016-10-01,2023-09-25,2016-10-06,2023-09-30,0.7236111111111111,1.2637041732619563
camels_10336660,raw,6,718,2016-10-01,2023-09-24,2016-10-07,2023-09-30,0.7061281337047354,1.29345821949255
camels_10336660,raw,7,716,2016-10-01,2023-09-23,2016-10-08,2023-09-30,0.6955307262569832,1.3348520850069792
