# Split-boundary target-date leakage, flood-split config, lead_time=7, predict_last_n=8.
# A "row" is (basin, issue date, lead) with a finite observation at valid_date = issue_date + lead; a "sample" is (basin, issue date) and is leaked if ANY of its 8 labels is also a training label.
# Leaked calendar dates (28 of them): 2016-10-01, 2016-10-02, 2016-10-03, 2016-10-04, 2016-10-05, 2016-10-06, 2016-10-07, 2017-10-01, 2017-10-02, 2017-10-03, 2017-10-04, 2017-10-05, 2017-10-06, 2017-10-07, 2022-10-01, 2022-10-02, 2022-10-03, 2022-10-04, 2022-10-05, 2022-10-06, 2022-10-07, 2023-10-01, 2023-10-02, 2023-10-03, 2023-10-04, 2023-10-05, 2023-10-06, 2023-10-07
basin,n_rows,n_rows_leaked,frac_rows_leaked,n_samples,n_samples_leaked,frac_samples_leaked
camels_10336645,5840,112,0.019178082191780823,730,28,0.038356164383561646
camels_10336660,5840,112,0.019178082191780823,730,28,0.038356164383561646
camels_10343500,5840,112,0.019178082191780823,730,28,0.038356164383561646
camels_11148900,5840,112,0.019178082191780823,730,28,0.038356164383561646
camels_11230500,5840,112,0.019178082191780823,730,28,0.038356164383561646
camels_11237500,5840,112,0.019178082191780823,730,28,0.038356164383561646
camels_11264500,5840,112,0.019178082191780823,730,28,0.038356164383561646
camels_11266500,5840,112,0.019178082191780823,730,28,0.038356164383561646
camels_11381500,5840,112,0.019178082191780823,730,28,0.038356164383561646
camels_11451100,4616,112,0.024263431542461005,584,28,0.04794520547945205
camels_11468500,5840,112,0.019178082191780823,730,28,0.038356164383561646
camels_11473900,5840,112,0.019178082191780823,730,28,0.038356164383561646
camels_11475560,5840,112,0.019178082191780823,730,28,0.038356164383561646
camels_11476600,5840,112,0.019178082191780823,730,28,0.038356164383561646
camels_11478500,5840,112,0.019178082191780823,730,28,0.038356164383561646
camels_11480390,5840,112,0.019178082191780823,730,28,0.038356164383561646
camels_11481200,5840,112,0.019178082191780823,730,28,0.038356164383561646
camels_11482500,5840,112,0.019178082191780823,730,28,0.038356164383561646
camels_11522500,5840,112,0.019178082191780823,730,28,0.038356164383561646
camels_11523200,5840,112,0.019178082191780823,730,28,0.038356164383561646
camels_11528700,5840,112,0.019178082191780823,730,28,0.038356164383561646
camels_11532500,5840,112,0.019178082191780823,730,28,0.038356164383561646
