# LSTM vs gauge persistence by storm-size bin and lead, WY2017+WY2023, 22-basin cohort.
# VALID-DATE SCORING: a forecast issued at d for lead k is scored at valid_date v = d + k; obs, precipitation percentile, storm class and the water-year mask are all taken at v.
# Matched-lead baselines (METHODS 4.2 / make_baselines.py): persistence = obs at v-k = obs on the issue date; damped = clim(v) + alpha**k * (obs(d) - clim(d)), clipped at 0, with the 31-day smoothed training day-of-year climatology and alpha the training lag-1 anomaly autocorrelation.
# Rows require obs, LSTM, plain and damped all finite, so the three models are scored on identical days.
# mae_skill_vs_X = 1 - mae_lstm/mae_X (positive = LSTM better); winrate_vs_X = fraction of basin-days with |err_lstm| < |err_X|; rel_bias = mean(sim-obs)/mean(obs).
# pooled_nse_* are FOOTNOTE columns only: within-bin NSE is computed on a precipitation-truncated variance and is not a skill measure.
# Leads 1-7 only; time_step 0 is a nowcast with no exact persistence analogue (METHODS 4.2). storm_bin "ALL" pools every bin.
# The standing asymmetry: the LSTM never ingests observed discharge; persistence uses the gauge, which a real operator also has.
storm_bin,lead,n_basin_days,mean_obs,valid_date_first,valid_date_last,mae_lstm,rel_bias_lstm,pooled_nse_lstm,mae_persistence,rel_bias_persistence,pooled_nse_persistence,mae_damped,rel_bias_damped,pooled_nse_damped,mae_skill_vs_persistence,winrate_vs_persistence,mae_skill_vs_damped,winrate_vs_damped
dry,1,10605,2.6261868,2016-10-02,2023-09-30,0.7156760692596436,0.0048507703468203545,0.8548974394798279,0.4909677505493164,0.1275951862335205,0.8127907514572144,0.4380768314685341,0.05544465312708579,0.9097728768907029,-0.45768447817379765,0.16397925506836397,-0.6336770581099509,0.2394153701084394
dry,2,10578,2.6326125,2016-10-03,2023-09-30,0.7158353328704834,0.0029029017314314842,0.862824559211731,0.9841168522834778,0.23938944935798645,0.2858700752258301,0.7755147447408633,0.06331884319442514,0.7550613478595185,0.2726114472996699,0.27226318774815655,0.07695458052228488,0.36386840612592175
dry,3,10554,2.6383421,2016-10-04,2023-09-30,0.7443773150444031,0.01702578365802765,0.8143535852432251,1.2817052602767944,0.2752804458141327,-0.10897576808929443,0.9491719683228741,0.017630831408979794,0.6935821741048238,0.41922894590941373,0.3494409702482471,0.2157613795109542,0.4341481902596172
dry,4,10521,2.6462183,2016-10-05,2023-09-30,0.752591609954834,0.017510900273919106,0.8553474545478821,1.4823005199432373,0.299818754196167,-0.2499370574951172,1.0533288321272347,-0.025127815070437355,0.665529381716665,0.49228135602107626,0.3907423248740614,0.28551124112405746,0.4626936602984507
dry,5,10480,2.656113,2016-10-06,2023-09-30,0.8003982901573181,0.029689477756619453,0.7961064577102661,1.6167901754379272,0.3210880160331726,-0.34705281257629395,1.1340476799812382,-0.06314424326380855,0.6424266550541426,0.5049460948508544,0.4480916030534351,0.29421107746496167,0.4941793893129771
dry,6,10436,2.6667511,2016-10-07,2023-09-30,0.8529608249664307,0.029424261301755905,0.69475257396698,1.7336102724075317,0.32407715916633606,-0.39299607276916504,1.204810862496744,-0.10079690306409855,0.615926480885786,0.5079858267210825,0.4743196627060176,0.2920375707778483,0.5075699501724799
dry,7,10395,2.6768482,2016-10-08,2023-09-30,0.8417566418647766,0.0049131810665130615,0.7702585458755493,1.8521596193313599,0.3160300552845001,-0.43020451068878174,1.2600423073239757,-0.13354831736964132,0.5858954452856999,0.5455269442875255,0.5103415103415103,0.33196160400957997,0.51996151996152
wet <=P50,1,2364,4.868609,2016-10-02,2023-09-30,1.3972299098968506,0.011726152151823044,0.7894597053527832,1.0182307958602905,0.14626550674438477,0.7464264631271362,0.8149665451900738,0.046572225636723724,0.8958715956792281,-0.3722133681061457,0.2263113367174281,-0.7144629042054433,0.2652284263959391
wet <=P50,2,2359,4.8784924,2016-10-03,2023-09-30,1.3480662107467651,0.001391847152262926,0.7969870567321777,1.6904101371765137,0.1417648196220398,0.29940909147262573,1.4091169185527666,-0.034783632223049844,0.7468953110074852,0.20252122186250276,0.3493005510809665,0.043325509049102595,0.4086477320898686
wet <=P50,3,2343,4.9105563,2016-10-04,2023-09-30,1.4136494398117065,0.007368461694568396,0.7706879377365112,2.0859029293060303,0.1385377198457718,0.2849898934364319,1.7699332769238942,-0.09176327654859935,0.6597962862472204,0.32228416770955837,0.41698676909944515,0.20129789171002044,0.4959453691848058
wet <=P50,4,2332,4.9330645,2016-10-05,2023-09-30,1.43378746509552,0.008229981176555157,0.7434120178222656,2.3134891986846924,0.14183740317821503,0.18397480249404907,2.007082991592008,-0.13603026273531102,0.5949917954945418,0.3802489045936833,0.4532590051457976,0.2856361839037622,0.5403087478559176
wet <=P50,5,2329,4.9389844,2016-10-07,2023-09-30,1.5011768341064453,0.001711966237053275,0.7610939145088196,2.5019724369049072,0.14238235354423523,0.09368449449539185,2.156000591544843,-0.17835943016575465,0.5614099326875266,0.4000026491245072,0.4727350794332332,0.30372151102667166,0.5611850579647918
wet <=P50,6,2329,4.9389844,2016-10-07,2023-09-30,1.6393002271652222,0.015463218092918396,0.5032203197479248,2.829235315322876,0.17387254536151886,-0.19066238403320312,2.2401380907879647,-0.20206164409694372,0.5175664412303076,0.4205854075527319,0.5036496350364964,0.2682146543079399,0.5611850579647918
wet <=P50,7,2326,4.9449143,2016-10-13,2023-09-30,1.7611044645309448,0.03155721351504326,0.41030269861221313,3.001145362854004,0.17711026966571808,-0.20595049858093262,2.281582717469938,-0.23190701013688447,0.5110911795988331,0.41318921558128574,0.5232158211521926,0.2281215793552972,0.5640584694754944
