# Storm-conditioned skill, WY2017+WY2023 flood test windows, cohort n=22 basins.
# pooled_nse is computed over the days IN EACH BIN, pooled across basins -- it is NOT comparable to a whole-record per-basin NSE; a small bin has its own (possibly small or near-zero) obs variance, which makes NSE noisy/undefined for rare bins.
# rel_bias = mean(sim-obs)/mean(obs); rel_mae = mean(|sim-obs|)/mean(obs); underpred_frac = fraction of basin-days with sim < obs.
# VALID-DATE SCORING (fixed 2026-08-19): each row pairs the lead-k simulation with the observation, precipitation percentile and storm class at valid_date = issue_date + k, and the water-year window mask is applied on valid_date. Pre-fix lead-3 numbers used issue-date observations and precipitation and must not be quoted.
storm_bin,lead,n_basin_days,rel_bias,rel_mae,pooled_nse,underpred_frac,issue_date_first,issue_date_last,valid_date_first,valid_date_last
dry,0,10645,-0.014848365,0.2573968,0.8798525333404541,0.5133865664631282,2016-10-01,2023-09-30,2016-10-01,2023-09-30
dry,3,10554,0.017025784,0.2821383,0.8143535852432251,0.5065378055713473,2016-10-01,2023-09-27,2016-10-04,2023-09-30
wet <=P50,0,2368,-0.008169678,0.26932937,0.8322345018386841,0.4809966216216216,2016-10-01,2023-09-30,2016-10-01,2023-09-30
wet <=P50,3,2343,0.0073684617,0.2878797,0.7706879377365112,0.5014938113529663,2016-10-01,2023-09-27,2016-10-04,2023-09-30
P50-P80,0,1550,0.0041249394,0.29042968,0.7851786613464355,0.4806451612903226,2016-10-02,2023-09-30,2016-10-02,2023-09-30
P50-P80,3,1534,-0.039298594,0.31977463,0.7310538291931152,0.5404172099087353,2016-10-10,2023-09-27,2016-10-13,2023-09-30
P80-P95,0,931,-0.21857722,0.35888427,0.68767249584198,0.673469387755102,2016-10-14,2023-09-30,2016-10-14,2023-09-30
P80-P95,3,931,-0.29552576,0.4306708,0.5691535472869873,0.7336197636949516,2016-10-11,2023-09-27,2016-10-14,2023-09-30
>P95,0,413,-0.51770097,0.55742633,0.33069539070129395,0.837772397094431,2016-10-14,2023-03-29,2016-10-14,2023-03-29
>P95,3,413,-0.61381,0.6444743,0.1542677879333496,0.8789346246973365,2016-10-11,2023-03-26,2016-10-14,2023-03-29
